Date,Product,Quantity,Price,Discount,Region,Advertising_Spend,Customer_Type,Total_Sales
2026-01-05,Laptop,5,80000,5,Karachi,25000,Business,388750.0
2026-01-08,Mouse,20,1500,10,Lahore,8000,Individual,29800.0
2026-01-12,Keyboard,10,3000,5,Islamabad,10000,Individual,32000.0
2026-01-15,Monitor,7,25000,8,Karachi,18000,Business,167300.0
2026-01-19,Headset,15,5000,12,Lahore,7000,Individual,68450.0
2026-02-03,Laptop,8,80000,7,Islamabad,30000,Business,605700.0
2026-02-07,Mouse,25,1500,5,Karachi,9000,Individual,38775.0
2026-02-11,Keyboard,12,3000,10,Lahore,12000,Business,36600.0
2026-02-16,Monitor,9,25000,6,Islamabad,20000,Business,218500.0
2026-02-21,Headset,18,5000,8,Karachi,8500,Individual,85775.0
2026-03-04,Laptop,6,80000,10,Lahore,22000,Business,439700.0
2026-03-08,Mouse,30,1500,12,Islamabad,9500,Individual,42925.0
2026-03-13,Keyboard,15,3000,7,Karachi,13000,Business,46400.0
2026-03-17,Monitor,5,25000,5,Lahore,16000,Individual,124350.0
2026-03-22,Headset,20,5000,10,Islamabad,9000,Individual,93150.0
2026-04-05,Laptop,10,80000,6,Karachi,35000,Business,764250.0
2026-04-09,Mouse,22,1500,8,Lahore,7500,Individual,32985.0
2026-04-14,Keyboard,18,3000,5,Islamabad,14000,Business,56200.0
2026-04-18,Monitor,8,25000,9,Karachi,21000,Business,189350.0
2026-04-23,Headset,25,5000,7,Lahore,10000,Individual,119750.0
2026-05-06,Laptop,7,80000,9,Islamabad,28000,Business,519400.0
2026-05-10,Mouse,28,1500,6,Karachi,8500,Individual,42455.0
2026-05-15,Keyboard,20,3000,8,Lahore,12500,Business,59575.0
2026-05-19,Monitor,6,25000,7,Islamabad,19000,Individual,146150.0
2026-05-24,Headset,22,5000,11,Karachi,9500,Individual,101225.0
2026-06-04,Laptop,9,80000,5,Lahore,32000,Business,695200.0
2026-06-09,Mouse,35,1500,9,Islamabad,11000,Individual,51625.0
2026-06-14,Keyboard,16,3000,6,Karachi,11500,Business,49145.0
2026-06-18,Monitor,10,25000,10,Lahore,23000,Business,233050.0
2026-06-23,Headset,27,5000,8,Islamabad,10500,Individual,127875.0
